Plate_ID,Row,Col,Gene_ID,Golden_Gate_Enzyme,Payload_Name,PTag_1_ID,PTag_2_ID,Oralgen Gene ID,GI,SMU #,VIMSS (MicrobesOnline #),GeneID,colony_growth,liquid_growth,RawMaxOD,TimeMaxOD,PredVMax,TimePredVMax,PassColony,PassLiquid,PassMaxOD,PassTimeMaxOD,PassVMax,PassTimeVMax,PassAll,Pass5,Pass4,Pass3,Operon Map
36,A,1,SMU_01,BsaI,KD_Payload_2,Tag_58,Tag_82,1,,,,,N,N,0.13,16.00333,2.9499999999999997e-24,1.33639,False,False,False,True,False,False,False,False,False,False,"[1, 2]"
36,D,1,SMU_09,BsaI,KD_Payload_2,Tag_62,Tag_106,7,,,,,N,N,0.121,8.33667,7.54e-16,1.33639,False,False,False,True,False,False,False,False,False,False,"[7, 8, 9, 10, 11]"
36,E,1,SMU_14,BsaI,KD_Payload_2,Tag_36,Tag_138,12,,,,,N,N,0.112,8.33667,3.58e-23,1.33639,False,False,False,True,False,False,False,False,False,False,"[12, 13]"
36,A,2,SMU_23,BsaI,KD_Payload_2,Tag_7,Tag_29,19,,,,,N,N,0.118,16.00333,2.55e-22,1.33639,False,False,False,True,False,False,False,False,False,False,"[19, 20, 21]"
36,E,4,SMU_80,BsaI,KD_Payload_2,Tag_29,Tag_128,73,,,,,N,N,0.129,8.33667,1.34e-20,1.33639,False,False,False,True,False,False,False,False,False,False,"[73, 74, 75, 76, 77, 78, 79, 80]"
36,F,8,SMU_154,BsaI,KD_Payload_2,Tag_149,Tag_166,138,,,,,?,Y,1.445,12.33667,0.352456975,8.22639,False,True,True,True,True,True,False,True,True,True,"[138, 139, 140, 141, 142, 143]"
36,D,9,SMU_169,BsaI,KD_Payload_2,Tag_62,Tag_71,153,,,,,N,N,0.119,2.67,6.33e-23,1.33639,False,False,False,False,False,False,False,False,False,False,"[153, 154]"
36,E,1,SMU_245,BsaI,KD_Payload_2,Tag_84,Tag_157,223,,,,,?,N,0.121,11.33667,5.15e-23,1.33639,False,False,False,True,False,False,False,False,False,False,"[223, 224]"
37,E,5,SMU_336,BsaI,KD_Payload_2,Tag_141,Tag_175,303,,,,,N,N,0.177,24.00333,0.032882827,23.66667,False,False,False,True,False,False,False,False,False,False,"[303, 304, 305]"
37,E,6,SMU_351,BbsI,KD_Payload_4,Tag_67,Tag_162,317,,,,,N,Y,1.776,20.00361,0.364226169,14.56667,False,True,True,True,True,True,False,True,True,True,"[317, 318, 319, 320, 321]"
