Plate_ID,Row,Col,New_ID,Golden_Gate_Enzyme,Payload_Name,PTag_1_ID,PTag_2_ID,Oralgen Gene ID,GI,Locus,VIMSS (MicrobesOnline #),GeneID,colony_growth,liquid_growth,quivey_successful,quivey_essential,RawMaxOD,TimeMaxOD,PredVMax,TimePredVMax,PassColony,PassLiquid,PassMaxOD,PassTimeMaxOD,PassVMax,PassTimeVMax,PassAll,Pass5,Pass4,Pass3
20,E,8,SMU_1676c,BsaI,Payload_1,Tag_3,Tag_87,1528,24380054,SMU.1676c,VIMSS296357,1028912,Y,Y,N,?,1.501,24.16972,0.269111665001198,7.42972,True,True,True,True,True,True,True,True,True,True
20,F,8,SMU_1677,BsaI,Payload_2,Tag_61,Tag_166,1529,24380055,SMU.1677,VIMSS296358,1028914,N,N,N,?,0.126,24.16972,0,1.66972,False,False,False,True,False,False,False,False,False,False
20,H,8,SMU_1678,BsaI,Payload_2,Tag_135,Tag_158,1530,24380056,SMU.1678,VIMSS296359,1028913,Y,Y,N,?,1.704,21.25306,0.299841861636696,7.80972,True,True,True,True,True,True,True,True,True,True
20,A,9,SMU_1679c,BsaI,Payload_1,Tag_1,Tag_152,1531,24380057,SMU.1679c,VIMSS296360,1028894,Y,Y,Y,N,1.675,23.33639,0.291908386726131,7.14972,True,True,True,True,True,True,True,True,True,True
20,B,9,SMU_1680c,BsaI,Payload_1,Tag_22,Tag_164,1532,24380058,SMU.1680c,VIMSS296361,1028893,Y,Y,Y,N,1.781,23.75306,0.32151543263259,7.11972,True,True,True,True,True,True,True,True,True,True
20,C,9,SMU_1681c,BsaI,Payload_1,Tag_73,Tag_173,1533,24380059,SMU.1681c,VIMSS296362,1028916,Y,Y,Y,N,1.615,24.16972,0.312717863155789,6.36972,True,True,True,True,True,True,True,True,True,True
20,D,9,SMU_1682c,BsaI,Payload_1,Tag_110,Tag_130,1534,24380060,SMU.1682c,VIMSS296363,1028917,Y,Y,Y,N,1.745,20.41972,0.321358909746323,7.58972,True,True,True,True,True,True,True,True,True,True
20,E,9,SMU_1683c,BsaI,Payload_1,Tag_160,Tag_163,1535,24380061,SMU.1683c,VIMSS296364,1028920,Y,Y,Y,N,1.712,18.75306,0.313200564184017,6.49972,True,True,True,True,True,True,True,True,True,True
20,F,9,SMU_1685c,BsaI,Payload_1,Tag_85,Tag_125,1536,24380062,SMU.1685c,VIMSS296365,1028921,Y,Y,Y,N,1.747,10.83639,0.324617019098918,7.32972,True,True,True,True,True,True,True,True,True,True
20,H,9,SMU_1687,BsmBI/Esp3I,Payload_5,Tag_189,Tag_192,1537,,,,,N,N,N,?,0.105,6.25306,-1.6979739939589E-15,1.66972,False,False,False,False,False,False,False,False,False,False
20,A,10,SMU_1688,BbsI,Payload_3,Tag_50,Tag_92,1538,,,,,Y,Y,Y,N,1.431,10.41972,0.245386499622578,7.91972,True,True,True,True,True,True,True,True,True,True
20,B,10,SMU_1689,BsaI,Payload_1,Tag_38,Tag_152,1539,,,,,Y,Y,N,?,1.55,15.00306,0.235509780215609,9.92972,True,True,True,True,True,True,True,True,True,True
20,C,10,SMU_1690,BsaI,Payload_1,Tag_90,Tag_164,1540,,,,,Y,Y,N,?,1.519,9.58639,0.253196208220847,8.18972,True,True,True,True,True,True,True,True,True,True
20,D,10,SMU_1691,BsaI,Payload_1,Tag_110,Tag_164,1541,,,,,Y,Y,Y,N,1.549,24.16972,0.235839763133444,10.01972,True,True,True,True,True,True,True,True,True,True
20,F,10,SMU_1692,BsaI,Payload_1,Tag_138,Tag_145,1542,,,,,Y,Y,Y,N,1.843,19.58639,0.310300132905338,9.01972,True,True,True,True,True,True,True,True,True,True
20,G,10,SMU_1693,BsaI,Payload_1,Tag_164,Tag_189,1543,,,,,Y,Y,N,?,1.523,24.16972,0.272729544755131,7.19972,True,True,True,True,True,True,True,True,True,True
20,H,10,SMU_1694c,BsaI,Payload_1,Tag_70,Tag_135,1544,24380070,SMU.1694c,VIMSS296373,1028927,Y,Y,Y,N,1.708,23.75306,0.307687158777232,6.94972,True,True,True,True,True,True,True,True,True,True
20,A,11,SMU_1695,BsaI,Payload_2,Tag_13,Tag_156,1545,24380071,SMU.1695,VIMSS296374,1028928,Y,Y,Y,N,1.647,23.33639,0.294483260734387,6.61972,True,True,True,True,True,True,True,True,True,True
20,B,11,SMU_1697c,BsaI,Payload_1,Tag_73,Tag_136,1546,24380072,SMU.1697c,VIMSS296375,1028930,Y,Y,N,?,1.733,23.33639,0.309489755804402,7.45972,True,True,True,True,True,True,True,True,True,True
20,C,11,SMU_1699c,BsaI,Payload_1,Tag_156,Tag_159,1547,24380073,SMU.1699c,VIMSS296376,1028931,Y,Y,N,?,1.65,24.16972,0.303640344262348,6.64972,True,True,True,True,True,True,True,True,True,True
20,D,11,SMU_1700c,BsaI,Payload_1,Tag_103,Tag_112,1548,24380074,SMU.1700c,VIMSS296377,1028929,Y,Y,Y,N,1.702,24.16972,0.311006968638534,7.18972,True,True,True,True,True,True,True,True,True,True
20,E,11,SMU_1701c,BsaI,Payload_1,Tag_52,Tag_117,1549,24380075,SMU.1701c,VIMSS296378,1028919,Y,Y,Y,N,1.646,20.83639,0.301892985866512,6.69972,True,True,True,True,True,True,True,True,True,True
20,F,11,SMU_1702c,BsaI,Payload_1,Tag_43,Tag_173,1550,24380076,SMU.1702c,VIMSS296379,1028918,Y,Y,Y,N,1.69,24.16972,0.30203638762658,7.88972,True,True,True,True,True,True,True,True,True,True
