Unnamed: 0,Plate_ID,Row,Col,New_ID,Golden_Gate_Enzyme,Payload_Name,PTag_1_ID,PTag_2_ID,Oralgen Gene ID,GI,Locus,VIMSS (MicrobesOnline #),GeneID,colony_growth,liquid_growth,quivey_successful,quivey_essential,RawMaxOD,TimeMaxOD,PredVMax,TimePredVMax,PassColony,PassLiquid,PassMaxOD,PassTimeMaxOD,PassVMax,PassTimeVMax,PassAll,Pass5,Pass4,Pass3
2002,21,C,11,SMU_1783,BsaI,Payload_1,Tag_23,Tag_145,1623,,,,,N,N,N,?,0.107,24.17,5.28041652933571e-22,1.67,False,False,False,True,False,False,False,False,False,False
2004,21,E,11,SMU_1785,BsaI,Payload_1,Tag_91,Tag_182,1625,,,,,N,N,Y,N,0.124,24.17,3.49889468313503e-16,1.67,False,False,False,True,False,False,False,False,False,False
2005,21,F,11,SMU_1786,BsmBI/Esp3I,Payload_5,Tag_56,Tag_115,1626,,,,,N,N,N,?,0.124,24.17,3.82129067790147e-05,23.55,False,False,False,True,False,False,False,False,False,False
2017,22,B,1,SMU_1799,BbsI,Payload_3,Tag_118,Tag_119,1637,,,,,N,N,Y,N,0.117,5.00333,3.38399234949625e-22,1.67,False,False,False,False,False,False,False,False,False,False
2044,22,E,4,SMU_1819,BsaI,Payload_1,Tag_148,Tag_155,1657,,,,,N,N,Y,N,0.112,9.17,3.51381106722735e-16,1.67,False,False,False,True,False,False,False,False,False,False
2045,22,F,4,SMU_1820c,BsaI,Payload_1,Tag_39,Tag_82,1658,24380184.0,SMU.1820c,VIMSS296487,1029032.0,N,N,Y,N,0.113,7.92,3.43895945371204e-22,1.67,False,False,False,True,False,False,False,False,False,False
2046,22,G,4,SMU_1821c,BsaI,Payload_1,Tag_38,Tag_151,1659,24380185.0,SMU.1821c,VIMSS296488,1029031.0,N,N,Y,N,0.121,13.75333,1.45251805050186e-24,1.67,False,False,False,True,False,False,False,False,False,False
2060,22,E,6,SMU_1835,BsaI,Payload_1,Tag_62,Tag_138,1671,,,,,N,N,Y,N,0.103,3.33667,4.76130664505945e-18,1.67,False,False,False,False,False,False,False,False,False,False
2063,22,H,6,SMU_1837,BsaI,Payload_1,Tag_150,Tag_159,1673,,,,,N,N,N,?,0.102,3.33667,4.8178041661545e-33,1.67,False,False,False,False,False,False,False,False,False,False
2064,22,A,7,SMU_1838,BsaI,Payload_1,Tag_39,Tag_145,1674,,,,,N,N,Y,N,0.105,6.67,1.98926009634567e-16,1.67,False,False,False,False,False,False,False,False,False,False
2085,22,F,9,SMU_1858,BsaI,Payload_1,Tag_140,Tag_159,1692,,,,,N,N,Y,N,0.115,7.92,3.77583656746712e-22,1.67,False,False,False,True,False,False,False,False,False,False
2086,22,G,9,SMU_1859,BsaI,Payload_1,Tag_6,Tag_85,1693,,,,,N,N,N,?,0.11,14.17,7.3715548959507e-25,1.67,False,False,False,True,False,False,False,False,False,False
2087,22,H,9,SMU_1860,BsaI,Payload_1,Tag_135,Tag_163,1694,,,,,N,N,N,Y,0.102,14.17,-1.95343526818571e-33,1.67,False,False,False,True,False,False,False,False,False,False
2155,23,D,6,SMU_1921,BbsI,Payload_3,Tag_27,Tag_152,1745,,,,,N,N,Y,N,0.108,11.66972,1.0323209952495e-21,1.66972,False,False,False,True,False,False,False,False,False,False
2180,23,E,9,SMU_1943,BsaI,Payload_1,Tag_57,Tag_99,1766,,,,,N,N,N,?,0.117,2.92,4.20284257245488e-14,1.66972,False,False,False,False,False,False,False,False,False,False
2186,23,C,10,SMU_1948,BsaI,Payload_1,Tag_54,Tag_192,1770,,,,,N,N,N,?,0.128,6.25306,9.56208538339925e-19,1.66972,False,False,False,False,False,False,False,False,False,False
2193,23,B,11,SMU_1955,BbsI,Payload_3,Tag_15,Tag_80,1775,,,,,N,N,Y,N,1.517,24.17,0.34892204755275,22.39972,False,False,True,True,True,False,False,False,False,False
